cellID	f_l1_College & University	f_l1_Food	f_l1_Residence	f_l1_Travel & Transport	f_l1_Outdoors & Recreation	f_l1_Arts & Entertainment	f_l1_Shop & Service	f_l1_Nightlife Spot	f_l1_Professional & Other Places	f_l1_Event	t_predominant
3926	0	0	2	0	1	0	0	0	0	0	Residential
1164	0	1	5	3	1	0	0	2	4	0	Residential
5239	0	2	0	1	0	0	3	0	1	0	Residential
2617	0	8	3	0	2	0	3	1	3	0	Mixed
1896	0	5	3	0	1	0	6	0	4	0	Mixed
5168	0	0	2	0	0	0	1	0	2	0	Residential
5626	0	3	1	1	1	0	9	1	2	0	Residential
4378	0	0	0	1	4	1	0	0	0	0	OpenSpace
4482	1	4	1	1	0	0	1	0	6	0	Residential
1898	0	2	3	1	2	0	0	0	3	0	Residential
5253	0	0	2	1	1	0	1	0	2	0	Residential
3024	0	3	0	3	2	0	3	6	3	0	Commercial
4533	0	1	1	0	0	0	1	1	1	0	Residential
1529	0	5	0	2	0	0	2	1	10	0	Transportation
1155	0	1	0	1	0	2	11	0	5	0	Residential
5183	0	8	1	1	0	0	18	0	1	0	Commercial
4228	0	0	0	0	0	0	0	0	1	0	OpenSpace
2319	0	0	0	2	2	3	0	0	2	1	Transportation
690	0	1	0	1	0	0	1	0	0	1	Other
3348	0	5	4	3	1	0	2	1	5	0	Residential
4342	7	0	0	2	0	0	0	0	2	0	Other
329	0	8	0	6	0	0	2	2	1	0	OpenSpace
6499	0	0	0	0	0	0	1	0	2	0	Other
1799	0	7	0	1	2	7	4	0	6	0	Commercial
632	1	6	2	1	3	1	2	0	3	0	Mixed
488	1	12	0	3	1	0	4	1	9	0	Mixed
1502	2	2	0	0	1	1	6	0	16	1	Commercial
2328	0	1	0	3	5	0	2	2	2	0	Other
3811	0	0	1	0	0	0	0	0	0	0	OpenSpace
3077	1	2	0	1	2	0	4	1	0	0	Residential
2083	0	10	2	6	4	0	2	5	2	0	Commercial
3134	0	4	2	2	0	0	1	2	6	0	Mixed
4065	0	8	1	3	1	0	3	0	2	0	Mixed
4487	0	0	0	0	1	0	0	0	1	0	OpenSpace
6287	0	1	0	0	0	2	0	0	0	0	OpenSpace
2799	0	8	0	2	0	1	1	1	20	0	Commercial
1859	8	1	3	6	0	2	5	3	1	0	Other
5519	0	3	4	0	0	2	0	0	4	0	Mixed
1432	0	5	3	2	0	0	10	1	7	0	Mixed
2741	0	0	0	0	2	0	0	0	0	0	OpenSpace
3072	0	5	2	1	0	0	5	1	0	0	Commercial
125	1	7	6	1	1	0	5	3	7	0	Mixed
1610	0	6	0	2	2	0	14	0	5	0	Mixed
2427	2	0	0	0	0	0	1	0	3	0	Other
2563	0	3	5	4	1	1	6	1	7	0	Mixed
2346	0	0	3	1	0	0	0	0	7	0	Other
2561	0	2	5	0	3	0	0	1	3	0	Residential
3443	0	5	2	1	0	0	13	0	9	0	Mixed
5120	0	1	2	0	0	1	2	0	1	0	Mixed
1679	1	4	0	4	3	4	3	0	8	1	Commercial
2809	0	16	0	1	0	1	5	7	2	0	Commercial
4034	0	0	2	0	0	0	0	0	0	0	Residential
587	0	7	4	0	0	1	12	4	1	0	Residential
2852	0	0	1	0	1	0	0	0	0	0	OpenSpace
1708	0	0	0	4	0	5	2	1	7	0	Commercial
5546	0	0	0	1	0	0	0	0	0	0	Residential
1193	0	3	2	2	1	1	8	3	0	0	Mixed
1031	0	1	0	0	1	2	2	0	5	2	Transportation
1585	1	4	1	2	3	2	4	0	0	0	Mixed
1866	0	8	1	0	0	0	3	0	20	0	Residential
5123	0	3	3	0	1	0	0	0	4	0	Residential
3221	0	0	0	1	0	0	0	0	1	0	Transportation
2661	0	3	7	1	1	0	2	1	0	0	Mixed
3060	0	0	8	0	2	2	1	0	2	0	Residential
2009	0	0	4	1	0	0	0	0	4	0	Other
412	0	1	0	3	1	0	3	6	5	0	Commercial
3131	0	0	3	1	3	0	0	0	4	0	Residential
6369	0	1	0	0	0	0	0	0	1	0	OpenSpace
1437	0	3	0	0	1	2	6	1	17	0	Commercial
3039	0	0	0	0	2	0	0	0	0	0	OpenSpace
2246	0	3	4	4	1	0	5	3	14	0	Mixed
852	0	4	11	2	13	1	6	1	2	1	Mixed
2081	0	8	0	3	0	1	5	2	15	0	Commercial
3876	2	2	5	0	0	1	1	0	8	0	Residential
4750	0	0	1	0	0	0	0	0	3	0	Other
2589	0	18	0	0	3	3	7	1	6	0	Mixed
2596	0	0	0	0	0	0	0	0	1	0	OpenSpace
4210	2	0	5	0	0	0	0	0	0	0	Other
100	0	0	0	1	1	0	0	0	0	0	Other
1612	2	0	1	1	2	1	5	0	12	0	Commercial
1362	0	1	0	11	0	0	1	0	1	0	Transportation
2663	1	3	2	0	2	0	1	2	2	0	Mixed
3252	0	10	0	1	0	0	2	0	9	0	Commercial
3359	0	2	2	2	0	0	2	0	9	0	Residential
1647	0	0	4	1	1	0	0	1	8	0	Mixed
3291	0	0	3	1	0	1	2	0	2	0	Residential
227	0	0	0	0	0	0	0	1	0	0	Transportation
5215	0	0	0	0	2	0	0	0	0	0	OpenSpace
419	0	7	3	1	0	1	10	0	1	0	Residential
1694	0	5	0	0	0	0	11	1	15	0	Commercial
2834	0	6	3	2	0	2	12	0	2	0	Mixed
1472	0	0	0	0	3	0	0	0	0	0	OpenSpace
6234	0	0	0	0	0	0	0	0	1	0	OpenSpace
5785	0	0	0	0	1	0	0	0	0	0	Residential
146	0	0	0	0	1	0	0	0	0	0	Other
1606	1	6	0	0	0	0	3	0	9	0	Commercial
911	0	1	5	0	0	3	4	0	3	0	Residential
1518	0	7	0	0	3	0	9	0	22	0	Mixed
4006	0	0	0	0	2	0	0	0	0	0	Residential
432	0	3	0	3	1	1	0	0	11	0	Transportation
2501	0	6	6	4	0	0	1	0	4	1	Residential
2151	1	6	1	1	0	0	5	0	3	0	Other
898	0	7	2	4	2	1	6	1	3	0	Mixed
4110	0	0	0	1	0	0	0	0	0	0	Residential
5284	0	1	0	0	1	0	1	0	0	0	Residential
4713	0	0	2	0	2	1	3	3	7	0	Residential
3225	0	0	0	2	0	0	0	1	0	0	OpenSpace
4934	0	2	0	0	0	2	2	0	0	0	Residential
4780	0	3	6	2	0	0	3	1	7	0	Residential
5027	0	2	2	0	0	0	1	1	2	0	Residential
3619	11	1	0	1	0	2	0	2	6	0	Other
2624	0	0	2	1	0	0	0	0	2	0	Other
3678	0	0	0	1	1	0	0	0	0	0	OpenSpace
4014	0	0	1	3	0	0	0	0	2	0	Other
4959	0	0	1	0	0	0	0	0	1	0	Residential
3542	0	2	0	1	0	0	0	0	1	0	OpenSpace
3028	0	7	0	1	1	3	3	1	13	0	Commercial
2432	1	0	7	1	2	2	1	5	0	0	Mixed
2582	0	12	0	0	0	0	6	1	11	0	Commercial
6058	1	0	0	0	0	0	0	0	0	0	OpenSpace
5116	0	2	1	0	2	0	3	1	0	0	OpenSpace
187	0	0	0	2	0	0	0	0	0	0	Transportation
2294	0	8	2	4	2	1	11	2	2	0	Mixed
2028	0	0	1	0	1	0	1	0	1	0	Residential
2614	0	0	0	1	1	0	0	0	3	0	Other
4290	0	1	5	0	0	0	2	0	1	0	Residential
2268	2	2	0	0	1	3	1	0	10	0	Commercial
3353	0	11	1	3	1	0	8	2	7	0	Mixed
5356	0	0	0	1	0	0	2	0	4	0	Residential
1918	0	0	2	0	0	0	1	0	2	0	Residential
5340	0	0	4	0	1	0	1	0	3	0	Residential
2993	0	0	0	1	0	0	0	0	0	0	Transportation
4524	0	2	1	0	1	1	0	0	1	0	Residential
6330	0	1	0	0	1	0	0	0	0	0	OpenSpace
4816	0	0	2	0	0	0	0	0	0	0	Residential
881	1	0	0	4	1	0	0	0	11	0	Commercial
3491	0	2	1	1	2	0	0	0	3	0	Other
5289	0	0	2	1	0	1	1	3	1	0	Residential
1281	0	2	2	0	0	1	1	2	2	0	Residential
750	2	1	2	0	0	0	2	1	2	0	Other
6370	0	0	0	0	0	3	0	0	0	0	OpenSpace
4486	0	1	0	0	1	0	0	0	3	0	OpenSpace
1498	0	0	3	0	1	0	5	0	3	0	Mixed
2687	0	1	0	1	0	0	8	0	6	0	Transportation
5888	0	0	1	0	0	0	0	0	0	0	Residential
1812	4	0	1	0	1	0	0	0	10	0	Other
4509	0	0	1	1	0	0	0	0	0	0	OpenSpace
4736	1	3	2	0	0	0	0	1	3	0	Residential
422	0	8	2	2	0	0	5	2	5	0	Mixed
2530	0	0	0	0	0	0	1	0	0	0	OpenSpace
5302	0	0	6	0	0	2	1	0	2	0	Residential
2757	0	0	1	0	1	0	0	0	2	0	Residential
